id,database_url,sample_id,date_collected,location,host,depth,viromics,core_processor,Final greenhouse GWC (%),Freezer location,GWC %,H2O amount (ml),H2O atom perc,Lab dried GWC (%),Time of sampling,Vial size (ml),Weight (gr),Weight dried (gr),Weight for DNA (gr),Weight for pH (gr),Wet Weight (gr),pH
1393,https://biotite.berkeley.edu/QRLab/1393/detail,AA3_D1_CO2-T0,4/28/2022,AA,UCB,0-10,0,MY,,,,,,,4/29/2022 15:49,30,,,,,,
1394,https://biotite.berkeley.edu/QRLab/1394/detail,AA3_D2_CO2-T0,4/28/2022,AA,UCB,10-20,0,ES,,,,,,,4/29/2022 15:54,30,,,,,,
1395,https://biotite.berkeley.edu/QRLab/1395/detail,AA3_D3_CO2-T0,4/28/2022,AA,UCB,20-30,0,ZH,,,,,,,4/29/2022 15:58,30,,,,,,
1396,https://biotite.berkeley.edu/QRLab/1396/detail,AA3_D4_CO2-T0,4/28/2022,AA,UCB,30-50,0,ZA-A,,,,,,,4/29/2022 16:02,30,,,,,,
1397,https://biotite.berkeley.edu/QRLab/1397/detail,AA3_D5_CO2-T0,4/28/2022,AA,UCB,50-80,0,JF,,,,,,,4/29/2022 16:07,30,,,,,,
1398,https://biotite.berkeley.edu/QRLab/1398/detail,AB3_D1_CO2-T0,4/28/2022,AB,UCB,0-10,0,MY,,,,,,,4/29/2022 16:12,30,,,,,,
1399,https://biotite.berkeley.edu/QRLab/1399/detail,AB3_D2_CO2-T0,4/28/2022,AB,UCB,10-20,0,ES,,,,,,,4/29/2022 16:17,30,,,,,,
1400,https://biotite.berkeley.edu/QRLab/1400/detail,AB3_D3_CO2-T0,4/28/2022,AB,UCB,20-30,0,ZH,,,,,,,4/29/2022 16:22,30,,,,,,
1401,https://biotite.berkeley.edu/QRLab/1401/detail,AB3_D4_CO2-T0,4/28/2022,AB,UCB,30-50,0,ZA-A,,,,,,,4/29/2022 16:27,30,,,,,,
1402,https://biotite.berkeley.edu/QRLab/1402/detail,AB3_D5_CO2-T0,4/28/2022,AB,UCB,50-80,0,JF,,,,,,,4/29/2022 16:32,30,,,,,,
1403,https://biotite.berkeley.edu/QRLab/1403/detail,AC3_D1_CO2-T0,4/28/2022,AC,UCB,0-10,0,MY,,,,,,,4/29/2022 16:37,30,,,,,,
1404,https://biotite.berkeley.edu/QRLab/1404/detail,AC3_D2_CO2-T0,4/28/2022,AC,UCB,10-20,0,ES,,,,,,,4/29/2022 16:42,30,,,,,,
1405,https://biotite.berkeley.edu/QRLab/1405/detail,AC3_D3_CO2-T0,4/28/2022,AC,UCB,20-30,0,ZH,,,,,,,4/29/2022 16:47,30,,,,,,
1406,https://biotite.berkeley.edu/QRLab/1406/detail,AC3_D4_CO2-T0,4/28/2022,AC,UCB,30-50,0,ZA-A,,,,,,,4/29/2022 16:52,30,,,,,,
1407,https://biotite.berkeley.edu/QRLab/1407/detail,AC3_D5_CO2-T0,4/28/2022,AC,UCB,50-80,0,JF,,,,,,,4/29/2022 17:00,30,,,,,,
1408,https://biotite.berkeley.edu/QRLab/1408/detail,HA3_D1_CO2-T0,4/29/2022,HA,UCB,0-10,0,MY,,,,,,,4/29/2022 12:15,30,,,,,,
1409,https://biotite.berkeley.edu/QRLab/1409/detail,HA3_D2_CO2-T0,4/29/2022,HA,UCB,10-20,0,ES,,,,,,,4/29/2022 12:19,30,,,,,,
1410,https://biotite.berkeley.edu/QRLab/1410/detail,HA3_D3_CO2-T0,4/29/2022,HA,UCB,20-30,0,ZH,,,,,,,4/29/2022 12:23,30,,,,,,
1411,https://biotite.berkeley.edu/QRLab/1411/detail,HA3_D4_CO2-T0,4/29/2022,HA,UCB,30-50,0,ZA-A,,,,,,,4/29/2022 12:27,30,,,,,,
1412,https://biotite.berkeley.edu/QRLab/1412/detail,HA3_D5_CO2-T0,4/29/2022,HA,UCB,50-80,0,JF,,,,,,,4/29/2022 12:31,30,,,,,,
1413,https://biotite.berkeley.edu/QRLab/1413/detail,HB3_D1_CO2-T0,4/29/2022,HB,UCB,0-10,0,MY,,,,,,,4/29/2022 12:35,30,,,,,,
1414,https://biotite.berkeley.edu/QRLab/1414/detail,HB3_D2_CO2-T0,4/29/2022,HB,UCB,10-20,0,ES,,,,,,,4/29/2022 12:39,30,,,,,,
